source,target,weight
6830,57344,1
3356,57344,1
3303,57344,1
174,57344,1
1299,57344,1
6762,57344,1
6939,57344,1
13335,57344,1
3257,57344,1
5511,57344,1
12956,57344,1
6147,12956,1
6147,136907,1
6147,20940,1
6147,400696,1
6147,6762,1
6147,262182,1
174,6147,1
3352,40973,1
6830,32787,1
7726,32787,1
174,32787,1
1299,32787,1
6453,32787,1
8220,32787,1
30383,32787,1
20940,32787,1
3320,32787,1
3356,32787,1
12357,32787,1
15810,32787,1
15107,32787,1
2134,32787,1
6939,32787,1
12956,22548,1
6939,22548,1
3356,8220,1
8220,16509,1
1299,8220,1
6730,8220,1
5511,8220,1
8220,12479,1
8220,13041,1
8220,15830,1
6453,8220,1
8220,39551,1
8220,8659,1
8220,8529,1
8075,8220,1
8220,132203,1
8220,136907,1
8220,21859,1
714,8220,1
8220,20940,1
8220,31898,1
766,8220,1
8220,16637,1
8220,59908,1
8220,13335,1
8220,14593,1
8220,16383,1
8220,63199,1
6507,8220,1
8220,12684,1
8220,199524,1
8220,23764,1
8220,15695,1
8220,54113,1
8220,49934,1
8220,25356,1
8220,32590,1
8220,32098,1
8220,139341,1
8220,48884,1
8220,53766,1
8220,17072,1
8220,55256,1
8220,35228,1
8220,8757,1
8220,19551,1
8220,135391,1
8220,37468,1
8220,52320,1
8220,8781,1
8220,16371,1
8220,13150,1
8220,14907,1
8220,22697,1
8220,23344,1
8220,11179,1
8220,22604,1
7979,8220,1
8220,208176,1
8220,15608,1
2134,8220,1
8220,210995,1
6939,8220,1
6830,8220,1
12956,262182,1
52489,262182,1
262182,263930,1
262182,265705,1
262182,264123,1
3352,210995,1
174,36925,1
5511,36925,1
12956,36925,1
174,262210,1
1299,262210,1
3356,262210,1
12956,262210,1
6762,262210,1
12357,44585,1
12357,25247,1
12357,48048,1
12357,43919,1
12357,51415,1
12357,29661,1
12357,211359,1
12357,201976,1
12357,210007,1
12357,197478,1
12357,57117,1
12357,212059,1
8659,12357,1
12357,204643,1
12357,42212,1
12357,208635,1
12357,209195,1
12357,212230,1
3356,22604,1
1299,22604,1
174,22604,1
12956,22604,1
1299,139341,1
6453,139341,1
174,139341,1
3356,139341,1
21859,139341,1
132203,139341,1
6939,139341,1
12956,139341,1
5511,139341,1
8529,139341,1
3257,139341,1
35753,139341,1
8781,139341,1
52468,139341,1
2134,7438,1
2134,32098,1
2134,3352,1
2134,3356,1
2134,46887,1
2134,14178,1
2134,2856,1
2134,33662,1
2134,21508,1
2134,3320,1
3352,47209,1
174,262253,1
12956,262253,1
6762,262253,1
1299,8301,1
3356,8301,1
3257,8301,1
6939,8301,1
8301,12956,1
1299,16509,1
6453,16509,1
174,16509,1
6830,16509,1
3257,16509,1
6730,16509,1
5511,16509,1
3356,16509,1
3320,16509,1
12956,16509,1
6762,16509,1
6939,16509,1
3352,30846,1
1299,200845,1
174,200845,1
200845,203936,1
3257,200845,1
6939,200845,1
51152,200845,1
1299,63648,1
174,63648,1
3356,63648,1
12956,63648,1
13335,63648,1
174,22697,1
3356,22697,1
1299,22697,1
6453,22697,1
6762,22697,1
12956,22697,1
6939,22697,1
12956,61610,1
3356,61610,1
52468,61610,1
6939,61610,1
174,3356,1
174,1299,1
174,6830,1
174,20940,1
174,6713,1
174,16637,1
174,12956,1
174,13489,1
174,6762,1
174,6453,1
174,3257,1
174,3320,1
174,15964,1
174,52320,1
174,8781,1
174,5511,1
174,18734,1
174,6400,1
174,14522,1
174,199524,1
174,23764,1
174,3303,1
174,35753,1
174,31898,1
174,17072,1
174,32098,1
174,54113,1
174,14259,1
174,18678,1
174,29119,1
174,37468,1
174,12252,1
174,269832,1
174,52468,1
174,132203,1
174,12189,1
174,12684,1
174,8529,1
174,28665,1
174,263702,1
174,6752,1
174,33182,1
174,13335,1
174,766,1
174,14178,1
174,136907,1
174,60068,1
174,21559,1
174,7979,1
174,22364,1
174,59908,1
174,264744,1
174,8069,1
174,21859,1
174,15994,1
174,138997,1
174,63199,1
174,19551,1
174,27796,1
174,11816,1
174,48728,1
174,265662,1
174,203936,1
174,48266,1
174,64123,1
174,33185,1
174,55256,1
174,270068,1
174,262706,1
174,44585,1
174,53766,1
174,15695,1
174,8075,1
174,199478,1
174,133613,1
174,208176,1
174,8544,1
174,264825,1
174,19855,1
174,400696,1
174,23344,1
174,11179,1
174,52580,1
174,199589,1
174,48348,1
174,23379,1
174,28458,1
8903,12462,1
12462,44989,1
133296,199524,1
133296,400696,1
1299,14522,1
3356,14522,1
12956,14522,1
14522,269831,1
13335,14522,1
10429,12956,1
10429,263444,1
10429,400696,1
10429,13335,1
10429,11179,1
10429,136907,1
5511,12479,1
3356,12479,1
6939,12479,1
12479,39551,1
12479,13041,1
12479,20905,1
12479,210158,1
12479,48884,1
12479,24920,1
12479,204748,1
12479,198355,1
12479,216034,1
12479,206046,1
12479,202997,1
12479,16383,1
3356,262355,1
12956,262355,1
6762,262355,1
6939,262355,1
3352,198871,1
6739,198871,1
3352,51415,1
8414,8659,1
6730,8414,1
6939,135391,1
1299,135391,1
12956,135391,1
3303,135391,1
3356,18666,1
12956,18666,1
3352,202997,1
1299,18678,1
3303,18678,1
18678,31898,1
18678,27882,1
12956,18678,1
18678,199524,1
18678,21859,1
18678,272816,1
18678,55256,1
18678,54113,1
6939,18678,1
6939,16637,1
3356,16637,1
1299,16637,1
16637,136907,1
5511,16637,1
6762,16637,1
12956,16637,1
13335,16637,1
1299,6400,1
6400,6453,1
6400,12956,1
6400,271935,1
1299,14593,1
3356,14593,1
8529,14593,1
3257,14593,1
12956,14593,1
6762,14593,1
6939,14593,1
14593,52468,1
14593,21859,1
8781,14593,1
14593,48728,1
59908,215298,1
3352,215298,1
1299,198949,1
3356,198949,1
6939,198949,1
12956,198949,1
136907,198949,1
11179,198949,1
52468,198949,1
15830,198949,1
3352,209195,1
1299,18734,1
3356,18734,1
3257,18734,1
6762,18734,1
6939,18734,1
17072,18734,1
18734,20940,1
18734,32098,1
18734,21859,1
12956,18734,1
3352,20784,1
8903,20784,1
1267,28977,1
3352,28977,1
6453,6830,1
1299,6453,1
3356,6453,1
6453,32098,1
3303,6453,1
6453,35753,1
6453,8529,1
6453,21859,1
6453,20940,1
6453,132203,1
6453,12189,1
6453,136907,1
6453,31898,1
6453,12956,1
5511,6453,1
714,6453,1
6453,8781,1
6453,60068,1
6453,52468,1
6453,263444,1
3320,6453,1
6453,23764,1
6453,63199,1
6453,8069,1
6453,54113,1
6453,32067,1
3257,6453,1
6453,53766,1
6453,12252,1
6453,17072,1
6453,13335,1
6453,199524,1
6453,29119,1
6453,32590,1
6453,14907,1
6453,15695,1
6453,6762,1
6453,6939,1
6453,16371,1
6453,30383,1
3356,262462,1
12956,262462,1
6939,22860,1
6762,22860,1
12956,22860,1
6939,8529,1
3303,8529,1
3356,8529,1
1299,8529,1
6762,8529,1
3320,8529,1
8529,21859,1
8529,55256,1
8529,13335,1
