asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,112,0.33432835820895523,0.07195888273447727,0.5403225806451613,0.21256762556882225,0.030886638769362387,0.09298584298584299,16.5625,11,4,15,0,96,15,0.0,True,0.264452,171.292148,0
714,9,0.026865671641791045,3.055234693980049e-05,0.4496644295302014,0.055748500298419906,0.002401524864859505,0.8888888888888888,94.88888888888889,8,4,9,4,0,5,0.4444,False,0.178082,27.404379,80
766,7,0.020895522388059702,0.003137145610885767,0.4213836477987422,0.028524192753684764,0.002728302037648901,0.23809523809523808,65.42857142857143,4,4,4,2,3,2,0.2857,False,0.395793,20.273135,4
1267,7,0.020895522388059702,0.0022565125436280298,0.41205412054120544,0.03903493530202965,0.00225366815073923,0.6190476190476191,81.0,6,4,6,3,1,3,0.4286,False,0.284098,22.869193,9
1299,90,0.26865671641791045,0.019929574552853532,0.5234375,0.22426379268783833,0.02155673453766875,0.1822721598002497,23.288888888888888,12,4,15,0,78,12,0.0,True,0.150157,223.450218,0
2134,12,0.03582089552238806,0.008109853527622887,0.431701030927835,0.02579720563394337,0.0038511469572585656,0.16666666666666666,31.583333333333332,4,3,7,11,0,1,0.9167,False,0.349891,18.734994,6
2856,5,0.014925373134328358,2.7095570186960625e-05,0.37263626251390436,0.01949026504689683,0.0015306288568776695,0.3,43.4,3,4,5,0,1,4,0.0,False,0.329669,16.155494,2
2914,68,0.20298507462686569,0.011145565737516282,0.5068078668683812,0.18568010611415028,0.016329814007615944,0.228270412642669,26.88235294117647,12,4,15,0,54,12,0.0,True,0.13047,200.344703,13
3223,11,0.03283582089552239,0.00011129098732733506,0.45454545454545453,0.06120558856655758,0.002996473377296258,0.6545454545454545,88.0909090909091,7,4,9,5,2,4,0.4545,False,0.175251,25.573424,14
3257,60,0.1791044776119403,0.010373690496262855,0.4948301329394387,0.17614552795728672,0.01416493066582841,0.27627118644067794,29.533333333333335,12,4,15,0,49,10,0.0,True,0.124631,166.442182,2
