window_start,window_id,collector,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,unique_peers,as_path_max,edit_distance_dict_5,edit_distance_max,unique_as_path_max,flaps,nadas,origin_changes,ego_filter_ratio,ego_origin_violations,avg_ixp_cosine_dist,betweenness_skewness,clustering_avg_local,degeneracy,kirchhoff_index,median_edge_ixp_cosine_dist,spectral_gap,as_path_avg,as_path_std,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_6,ego_avg_violation_depth,ego_valley_free_violations,ego_vf_paths_frac,vf_rate_delta,new_prefixes,rich_club_p25,unique_prefixes_wd
2025-11-01 00:00:00+00:00,20251101_0000,rrc05,0.2405,27,0.264524948735475,0.5685483870967742,0.7647058823529411,0.193647,32.2,15,8,16,6,69,50,918,23,0.0820717899621703,0,0.381388,13.215300528522963,0.5724849066470314,15,43218.82476953351,0.189449,21.15842556918504,3.5483658593933693,0.9953453019951494,1.5735066542865983,1612,3,0.5105,23815,0.673648,0.024946,0,0.0619193608324043,1154
2025-11-01 00:05:00+00:00,20251101_0005,rrc05,0.2404,27,0.264524948735475,0.5827956989247312,0.7647058823529411,0.194112,32.2,14,7,6,5,63,40,780,31,0.0600046753694157,0,0.381398,13.19237888519008,0.5715043436773362,15,43054.31995480182,0.189589,21.081952191577912,3.5724365365442137,1.1640065774781885,1.5299097590473532,1797,0,0.4639,17359,0.536995,0.043353,1690,0.0621453027531541,722
2025-11-01 00:10:00+00:00,20251101_0010,rrc05,0.239,27,0.264524948735475,0.5827956989247312,0.7647058823529411,0.193288,32.2,14,7,1,5,67,27,772,15,0.0623150094706825,0,0.381329,13.211778126438857,0.5724169694674924,15,43212.4944110392,0.187879,21.176610481192903,3.4881908360888048,1.161263908625515,1.529112852000847,1509,0,0.502,17775,0.628888,0.029478,2377,0.0619658119658119,906
2025-11-01 00:20:00+00:00,20251101_0020,rrc05,0.2406,27,0.264524948735475,0.5685483870967742,0.7647058823529411,0.19371,32.2,13,7,0,4,69,56,798,26,0.0535791146574843,0,0.381388,13.219610407645376,0.5723713360274597,15,43230.37364837909,0.189426,21.141931415019776,3.5774179804005115,1.2604908587982178,1.4846008799497172,1984,0,0.4143,13266,0.575694,0.022489,104,0.0618729096989966,664
2025-11-01 00:30:00+00:00,20251101_0030,rrc05,0.2402,28,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.194785,32.2,13,7,11,5,67,26,767,16,0.05,0,0.381394,13.19963488558866,0.5717853460591978,15,43070.70374115027,0.187991,21.0150150294337,3.641137040714995,1.3122886308337052,1.392391304347826,1687,0,0.4933,17108,0.533786,0.051879,254,0.0620045964072979,1092
2025-11-01 00:35:00+00:00,20251101_0035,rrc05,0.24,27,0.267719298245614,0.5827956989247312,0.7647058823529411,0.195142,32.2,14,7,13,5,75,33,810,11,0.0513416638075804,0,0.381403,13.167405400993236,0.5709190029387845,15,42884.60755689708,0.188451,20.94442378001836,3.6135066582117945,1.3222700326416408,1.4640155856062342,1607,0,0.4672,17874,0.592743,0.039899,274,0.0622780014207909,772
2025-11-01 00:40:00+00:00,20251101_0040,rrc05,0.2399,28,0.2684210526315789,0.5849462365591398,0.7647058823529411,0.195276,32.6,14,8,9,5,72,45,724,15,0.0555429061248543,0,0.381403,13.172860407817652,0.5712529973013981,15,42892.82077914306,0.187011,20.975383760929123,3.737178792150059,1.3587200956913283,1.5717919075144509,1394,0,0.4884,26410,0.604906,0.06432,92,0.0623253611176888,1139
2025-11-01 00:45:00+00:00,20251101_0045,rrc05,0.2402,28,0.2724324324324324,0.5849462365591398,0.7647058823529411,0.195254,32.2,14,7,5,6,69,25,727,10,0.0435975715658614,0,0.381403,13.172638942985715,0.571719154798591,15,42911.85174836408,0.188272,20.962132698359877,3.5544375353306954,1.3828044547100224,1.357557063541024,1849,1,0.4781,19420,0.513189,0.052716,298,0.0622306417238929,1151
2025-11-01 00:55:00+00:00,20251101_0055,rrc05,0.2403,27,0.272072072072072,0.5827956989247312,0.7647058823529411,0.195268,32.2,14,8,17,7,67,31,719,14,0.0613839970546726,0,0.381403,13.17203170956996,0.5716089586649504,15,42913.07211313135,0.188295,20.93505882804737,3.6056773723955966,1.2564304382011944,1.536981791996708,1567,3,0.5043,37891,0.612591,0.084046,103,0.062183282026995,1402
2025-11-01 01:10:00+00:00,20251101_0110,rrc05,0.2408,27,0.2724324324324324,0.5849462365591398,0.7720588235294118,0.195372,32.2,15,7,3,6,74,24,699,47,0.0555940241878112,0,0.381403,13.172296693213674,0.5724483721780044,15,42912.65562663155,0.188039,20.95149737458553,3.811077757335141,1.3626834300741213,1.5838066714861097,1575,3,0.4854,12962,0.554803,0.030922,120,0.0622306417238929,781
2025-11-01 01:20:00+00:00,20251101_0120,rrc05,0.2403,27,0.272072072072072,0.5827956989247312,0.7647058823529411,0.195268,32.2,15,7,46,6,71,34,819,55,0.0666980866174112,0,0.381403,13.172031709569964,0.5716089586649504,15,42913.07211313135,0.188295,20.93505882804737,3.78116560676017,1.2398494646167322,1.580088577228271,1700,15,0.4832,22679,0.644685,0.046034,65,0.062183282026995,1303
2025-11-01 01:25:00+00:00,20251101_0125,rrc05,0.2405,27,0.272072072072072,0.5685483870967742,0.7647058823529411,0.194859,32.2,15,7,7,5,69,31,834,43,0.0599533259264378,0,0.381394,13.199330203175496,0.5724772585584693,15,43088.93369555231,0.187991,20.995241214659437,3.9246812189323537,1.4920989653297976,1.5934142114384748,1467,0,0.4535,15362,0.564145,0.046136,91,0.0619107921767271,1320
2025-11-01 01:30:00+00:00,20251101_0130,rrc05,0.2402,28,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.194785,32.2,14,8,33,6,73,46,978,32,0.0632341132751956,0,0.381394,13.199634885588669,0.5717853460591978,15,43070.70374115027,0.187991,21.0150150294337,3.5150993719349564,1.198113444920576,1.5116336941644892,1427,8,0.5026,15804,0.603933,0.032483,3075,0.0620045964072979,1099
