window_start,window_id,collector,adj_eig_ratio_1_2,algebraic_connectivity,ann_rate,ann_wd_ratio,announcements,as_path_avg,as_path_max,as_path_std,asn,assortativity,avg_edge_ixp_cosine_dist,avg_ixp_cosine_dist,avg_neighbor_degree,avg_path_length,avg_violation_depth,betweenness_centrality,betweenness_max,betweenness_mean,betweenness_skewness,betweenness_std,closeness_centrality,clustering_avg_local,clustering_global,core_mean,core_median,core_number,core_std,degeneracy,degree,degree_centrality,density,diameter,dups,eccentricity,edge_connectivity,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,ego_avg_violation_depth,ego_edges,ego_filter_ratio,ego_max_violation_depth,ego_nodes,ego_nodes_dynamic,ego_origin_violations,ego_transit_vf_rate,ego_transit_violations,ego_updates_filtered,ego_updates_total,ego_valley_free_paths_checked,ego_valley_free_paths_total,ego_valley_free_violation_rate,ego_valley_free_violations,ego_vf_paths_frac,eigenvector_centrality,flaps,frac_p2c_edges,frac_p2p_edges,frac_unknown_edges,imp_wd,imp_wd_dpath,imp_wd_spath,innermost_core_size,is_ixp,is_tier1,ixp_vector_norm,kirchhoff_index,local_clustering,log_spanning_trees,max_violation_depth,mean_adamic_adar,mean_jaccard,median_edge_ixp_cosine_dist,n_customers,n_edges,n_edges_missing_ixp_data,n_edges_with_ixp_data,n_ixp_in_subgraph,n_ixp_memberships,n_nodes,n_peers,n_providers,n_tier1_in_subgraph,n_unknown_rel,nadas,natural_connectivity,new_prefixes,node_clique_number,node_connectivity,number_rare_ases,origin_IGP,origin_INCOMPLETE,origin_changes,p2c_ratio,p2p_ratio,pagerank,percolation_limit,provider_ratio,radius,rare_ases_ratio,rel_coverage,rich_club_p25,rich_club_p50,rich_club_p75,rich_club_p90,rich_club_p95,segment,spectral_gap,spectral_radius,std_edge_ixp_cosine_dist,symmetry_ratio,total_updates,unique_as_path_max,unique_peers,unique_prefixes_ann,unique_prefixes_wd,valley_free_paths_checked,valley_free_violation_rate,valley_free_violations,vf_rate_delta,wd_ann_ratio,wd_rate,withdrawals,iso_forest_score,lof_score,statistical_score,elliptic_score,hdbscan_outlier_score,hdbscan_unscored,equal_consensus_score,fourier_template,fourier_residual,fourier_residual_z,cluster,hdbscan_cluster,kmeans_cluster,kmeans_small_cluster_flag,kmeans_label_boosted,anomaly_votes,consensus_score,discovered_label_pre_kmeans,discovered_label,label_stability_score,label_flip_rate,bootstrap_modal_label,bootstrap_modal_agreement
2025-11-01 00:15:00+00:00,20251101_0015,rrc04,1.2496963427999197,0.2708591938438614,8.333333333333334,3.4859154929577465,2475,4.985050505050505,9,1.6579402621836623,12880,-0.3886302367270403,0.376586,0.399932,20.7,2.995477796723256,0.5215,0.1575610695350652,0.5745939140667481,0.0061023785832515,11.11774831156776,0.0402838633192404,0.5157232704402516,0.2806435635747908,0.0378335949764521,1.8966565349544076,2.0,3.0,1.346487406149534,7,20.0,0.0609756097560975,0.010656831492327,4,2,2.0,1,1.0666666666666669,1,13,0,1,0,0,0,3,1,12,0.5159,575,0.0160070360598065,0.875,329,329,0,0.000149,14,3185,198975,93865,94070,0.270271,25369,0.482343,0.1170053743063186,1,0.7617,0.2209,0.0174,2,0,2,13,0.0,0.0,2.0,79346.15550306327,0.0421052631578947,179.47482763578785,0.875,0.5738856249990192,0.0704619675130577,0.274201,19.0,575,424,151,0,0.0,329,0.0,1.0,5,0.0,36,7.468184967946622,2458,3.0,1,52,1757,718,0,0.95,0.0,0.0166173812829228,0.0759221112054031,0.05,2,0.0042146214945696,0.9826,0.0297958300266936,0.0856164383561643,0.0856164383561643,0.1975806451612903,0.2058823529411764,1,2.631718336040132,13.171393473168234,0.34572,15.6,3185,2,8,2460,311,194602,0.137424,26743,0.132847,0.2868686868686869,2.3905723905723906,710,-0.012950888973122132,-1.0022983352647996,0.1124031007751938,16510.501055216802,0.9824180517993409,False,0.6,1254.5117924661242,1930.4882075338758,3.7079007838326925,-1,-1,0,False,False,3.0,0.5800770957560265,likely_anomaly,likely_anomaly,1.0,0.0,likely_anomaly,1.0
2025-11-01 04:35:00+00:00,20251101_0435,rrc04,1.2590600971847892,0.2709635460216056,11.115254237288136,2.980909090909091,3279,5.421774931381519,10,0.9379279002972442,12880,-0.389278018832119,0.379523,0.399932,20.7,2.99440284676403,0.5307,0.1571795829836134,0.5740532741530145,0.0060990912745077,11.115725616931645,0.0402388618120691,0.5157232704402516,0.283049434356486,0.0373333333333333,1.8601823708206688,2.0,3.0,1.2048135335525831,6,20.0,0.0609756097560975,0.010656831492327,4,736,2.0,1,1.7564377682403434,305,658,1425,229,179,0,0,4,299,334,0.5331,575,0.0799758921722613,0.875,329,329,1,0.0,0,4379,54754,43643,43848,0.463648,20235,0.879899,0.1170254948677805,155,0.7617,0.2191,0.0191,1287,904,383,17,0.0,0.0,2.0,79292.65267869474,0.0421052631578947,179.68738940916276,0.875,0.5695104312472443,0.0697710244604409,0.279505,19.0,575,425,150,0,0.0,329,0.0,1.0,5,0.0,51,7.465911859349504,482,3.0,1,3,2100,1179,214,0.95,0.0,0.0166005268917877,0.0759063429640077,0.05,2,0.0001687478906513,0.9809,0.0297958300266936,0.0840429470566456,0.0840429470566456,0.1955645161290322,0.2058823529411764,1,2.710665919171568,13.17412960434897,0.345455,15.6,4379,22,9,483,539,49600,0.420101,20837,0.043547,0.3354681305275999,3.7288135593220337,1100,-0.020212917871821445,-1.5258908113747631,0.12790697674418605,-15060.972780367374,0.9988835531051458,False,1.0,1124.1684920654118,3254.8315079345884,6.251575250454996,-1,-1,0,False,False,5.0,1.0,high_confidence_anomaly,high_confidence_anomaly,1.0,0.0,high_confidence_anomaly,1.0
2025-11-01 04:40:00+00:00,20251101_0440,rrc04,1.2590600971847892,0.2709635460216041,7.316498316498317,2.3958103638368247,2173,5.36217211228716,10,0.8359913083287955,12880,-0.389278018832119,0.379523,0.399932,20.7,2.99440284676403,0.4957,0.1571795829836133,0.5740532741530147,0.0060990912745077,11.11572561693164,0.0402388618120691,0.5157232704402516,0.283049434356486,0.0373333333333333,1.8601823708206688,2.0,3.0,1.2048135335525831,6,20.0,0.0609756097560975,0.010656831492327,4,218,2.0,1,2.056493884682586,31,369,879,348,90,0,0,4,29,288,0.5123,575,0.0321751666213985,0.875,329,329,0,7.1e-05,6,3080,95726,84026,84244,0.260169,21861,0.913088,0.1170254948677806,155,0.7617,0.2191,0.0191,703,572,131,17,0.0,0.0,2.0,79292.65267869474,0.0421052631578947,179.68738940916276,0.875,0.5695104312472443,0.0697710244604409,0.279505,19.0,575,425,150,0,0.0,329,0.0,1.0,5,0.0,37,7.465911859349504,1,3.0,1,6,1429,744,229,0.95,0.0,0.0166005268917877,0.0759063429640077,0.05,2,0.0005149330587023,0.9809,0.0297958300266936,0.0840429470566456,0.0840429470566456,0.1955645161290322,0.2058823529411764,1,2.710665919171568,13.17412960434897,0.345455,15.6,3080,15,8,456,450,92024,0.259584,23888,0.000585,0.417395306028532,3.053872053872054,907,-0.008894210378459944,-1.1053975343222593,0.12403100775193798,2120.7052851867957,0.9969975521764858,False,0.6,1129.2897768803207,1950.7102231196793,3.746741335745239,-1,-1,0,False,False,3.0,0.5800770957560265,likely_anomaly,likely_anomaly,1.0,0.0,likely_anomaly,1.0
2025-11-01 06:30:00+00:00,20251101_0630,rrc04,1.252290978992727,0.277655258342564,6.325503355704698,1.7901234567901234,1885,8.282228116710876,11,0.987139878141871,12880,-0.3847534217647063,0.377009,0.399932,20.75,2.9899603942157134,0.5438,0.1579393307899548,0.5708495439402398,0.0060669524213893,11.133221197129076,0.0400284169925839,0.5156739811912225,0.2816795162646812,0.0384356035064059,1.9090909090909087,2.0,3.0,1.30415737021304,7,20.0,0.060790273556231,0.0107580362899511,4,572,2.0,1,2.204404291360813,229,334,374,689,60,20,44,8,70,101,0.5519,584,0.0332586202993049,0.9,330,330,2,0.0,0,2938,88338,71890,72134,0.345792,24859,0.874245,0.1166035151452642,80,0.7517,0.226,0.0223,345,339,6,9,0.0,0.0,2.0,78780.71380194026,0.0421052631578947,185.41250209307375,0.9,0.5808295966619152,0.0716085986469867,0.274201,19.0,584,433,151,0,0.0,330,0.0,1.0,5,0.0,58,7.487626130457701,113,3.0,1,6,1067,818,103,0.95,0.0,0.0164135285029371,0.0757860111275621,0.05,2,0.0003843197540353,0.9777,0.0289677682578539,0.0806561859193438,0.0806561859193438,0.2193732193732193,0.2058823529411764,1,2.6583209908889085,13.195047280121544,0.345548,16.0,2938,22,8,114,418,82231,0.317703,26125,0.028089,0.5586206896551724,3.533557046979866,1053,0.026329189052603896,-1.5930530345779121,0.12403100775193798,-64109.65611031739,0.9974777459540495,False,0.8,1310.7158016610936,1627.2841983389064,3.1255349455085994,-1,-1,0,False,False,4.0,0.8036466495392212,high_confidence_anomaly,high_confidence_anomaly,1.0,0.0,high_confidence_anomaly,1.0
2025-11-01 06:35:00+00:00,20251101_0635,rrc04,1.2712255979149636,0.2975688423827788,40.28378378378378,3.4049114791547685,11924,7.736246226098625,11,1.3376368575779454,12880,-0.3911722980862085,0.309434,0.349897,19.65,2.917524750510882,0.5484,0.1489701458798057,0.611508130788201,0.006068116299085,11.528701748614331,0.0424275970237061,0.5162866449511401,0.3116299251440133,0.0373221842655381,1.8647798742138364,1.5,3.0,1.2275474533747268,6,20.0,0.0630914826498422,0.0110310894192805,4,2602,2.0,1,2.3354519774011298,731,2372,2598,4067,1248,217,65,9,477,585,0.5738,556,0.1584901007900874,0.9,318,318,1,0.010899,863,15426,97331,79185,79431,0.336945,26681,0.892547,0.1110026623157565,547,0.7716,0.1942,0.0342,3081,2986,95,17,0.0,0.0,2.0,74483.76025236995,0.0368421052631578,172.72311307953382,0.9,0.6059851618196453,0.0737913269086764,0.242451,19.0,556,424,132,0,0.0,318,0.0,1.0,5,0.0,62,7.68408515703795,546,3.0,1,5,8310,3614,586,0.95,0.0,0.0175218934997243,0.0747913865817496,0.05,2,5.420230468199508e-05,0.9658,0.0316057638723031,0.0316057638723031,0.0810526315789473,0.2229885057471264,0.2666666666666666,1,2.8527023575406254,13.37052360845008,0.293859,16.4,15426,41,9,596,1350,88718,0.332232,29475,0.004713,0.2936933914793693,11.83108108108108,3502,-0.20586696898047652,-2.113907271263514,0.4263565891472868,-6531403.642669481,0.9997440177704731,False,1.0,1319.4685978861753,14106.531402113826,27.09450316191092,-1,-1,1,True,False,5.0,1.0,high_confidence_anomaly,high_confidence_anomaly,1.0,0.0,high_confidence_anomaly,1.0
2025-11-01 06:40:00+00:00,20251101_0640,rrc04,1.2520636747761429,0.2653492165135789,28.135593220338983,6.089508437270727,8300,6.775421686746988,10,1.0266591070313524,12880,-0.3892126636219279,0.354824,0.379918,19.6,2.92678592820349,0.5444,0.1512193290418323,0.6115265163790408,0.0061167807244555,11.459317992491911,0.0426840316510539,0.5163398692810458,0.2922907110126005,0.0383937823834196,1.9085173501577288,2.0,3.0,1.3271574937082309,7,20.0,0.0632911392405063,0.011120872099988,4,436,2.0,1,2.224671849114311,96,1086,3833,2648,165,14,4,7,88,448,0.5473,557,0.1218368196088814,0.8889,317,317,0,0.012686,826,9663,79311,65109,65403,0.355604,23153,0.886078,0.1125555273812104,317,0.781,0.1921,0.0269,2055,1993,62,9,0.0,0.0,2.0,73387.49683696765,0.0368421052631578,175.06702642204283,0.8889,0.6075078091436495,0.0753884477056124,0.252376,19.0,557,411,146,0,0.0,317,0.0,1.0,5,0.0,53,7.60270178477684,1,3.0,1,2,6366,1934,449,0.95,0.0,0.0175635097910275,0.0753391053351599,0.05,2,3.556440714133296e-05,0.9731,0.030523365901689,0.084855403348554,0.084855403348554,0.210752688172043,0.2416666666666666,1,2.6721657242039942,13.273319288187915,0.331132,16.0,9663,51,9,453,858,73480,0.322768,23717,0.032836,0.1642168674698795,4.620338983050847,1363,-0.10175511014489569,-1.2281250852948669,0.29069767441860467,-77024.87484229602,0.9993302387351203,False,0.8,1328.024494128013,8334.975505871987,16.009039625747995,-1,-1,0,False,False,4.0,0.7693519072390007,high_confidence_anomaly,high_confidence_anomaly,0.85,0.15000000000000002,high_confidence_anomaly,0.85
2025-11-01 06:45:00+00:00,20251101_0645,rrc04,1.2462756941823694,0.2847625019694819,27.09030100334448,9.563164108618654,8100,6.747530864197531,10,1.4108351030581965,12880,-0.3872834426714071,0.359424,0.399932,19.55,2.914246759325207,0.5563,0.147437625933102,0.6074941041401303,0.0061354062798884,11.431039011892128,0.0425600345216331,0.5165016501650165,0.2925691663142785,0.03953125,1.9490445859872607,2.0,3.0,1.4087812790776308,7,20.0,0.0638977635782747,0.0113957794916668,4,321,2.0,1,2.460167714884696,42,995,2018,1643,1016,6,0,7,31,765,0.5585,560,0.0934051593640055,0.8889,314,314,0,0.003364,287,8947,95787,85327,85563,0.266235,22717,0.922075,0.113108592264375,31,0.7768,0.1982,0.025,975,911,64,16,0.0,0.0,2.0,71315.52613846608,0.0368421052631578,177.6658986948613,0.8889,0.616352258314728,0.0761962083753464,0.244071,19.0,560,410,150,0,0.0,314,0.0,1.0,5,0.0,33,7.618754136147436,2004,3.0,1,24,5715,2385,697,0.95,0.0,0.0174896411832808,0.0753177222937347,0.05,2,0.0004391181044735,0.975,0.0309778080739225,0.0824561403508772,0.0824561403508772,0.2056451612903226,0.2087912087912088,1,2.623676279155441,13.277087643464023,0.336766,16.2,8947,23,9,2376,339,92538,0.250773,23206,0.015462,0.1045679012345679,2.8327759197324416,847,-0.09432793117106963,-1.2283886910360322,0.2751937984496124,-57573.87098268836,0.9987227606865119,False,0.8,1336.356876291633,7610.643123708367,14.617809885468548,-1,-1,0,False,False,4.0,0.7693519072390007,high_confidence_anomaly,high_confidence_anomaly,0.85,0.15000000000000002,high_confidence_anomaly,0.85
2025-11-01 06:50:00+00:00,20251101_0650,rrc04,1.252520037444762,0.2847591976502319,33.560402684563755,12.971465629053178,10001,6.22957704229577,10,1.1991201403899825,12880,-0.3876654563464849,0.364458,0.399932,19.55,2.9142671089314423,0.5594,0.147437625933102,0.6074941041401299,0.0061354715029853,11.430777653884348,0.0425605263605289,0.5165016501650165,0.2931885012894416,0.039091003856979,1.926751592356688,2.0,3.0,1.3346381062293162,7,20.0,0.0638977635782747,0.0113754298854317,4,613,2.0,1,1.8341616531519749,94,2478,4132,508,412,22,0,5,89,1345,0.5618,559,0.1806503546931862,0.8889,314,314,2,0.006687,343,10772,59629,51293,51538,0.369914,18974,0.903603,0.1130477427994788,24,0.7782,0.1968,0.025,2263,1752,511,9,0.0,0.0,2.0,71328.36171591646,0.0368421052631578,177.39562588154703,0.8889,0.6120458133630344,0.0756207857936812,0.274201,19.0,559,410,149,0,0.0,314,0.0,1.0,5,0.0,33,7.613748839088951,15,3.0,1,15,7522,2479,705,0.95,0.0,0.0174941296471638,0.0753267930151623,0.05,2,0.0002407627363487,0.975,0.0309020677118836,0.0821052631578947,0.0821052631578947,0.2036290322580645,0.2087912087912088,1,2.676465716051066,13.275488839657788,0.336269,16.0,10772,19,9,2355,276,56765,0.346851,19689,0.023063,0.0770922907709229,2.587248322147651,771,-0.10511912278151458,-1.1088016356804995,0.27906976744186046,-85475.305608829,0.9986809015448976,False,0.8,1344.4404616350382,9427.559538364962,18.107572615835007,-1,-1,0,False,False,4.0,0.7693519072390007,high_confidence_anomaly,high_confidence_anomaly,0.85,0.15000000000000002,high_confidence_anomaly,0.85
2025-11-01 07:05:00+00:00,20251101_0705,rrc04,1.2609047080753315,0.2848154475142745,2.0702341137123748,0.7835443037974683,619,6.221324717285945,9,0.9891633823474584,12880,-0.3876078097420009,0.375365,0.399932,19.55,2.91386011680674,0.5054,0.1472796400152321,0.6073543813503818,0.0061341670410472,11.43466718964438,0.0425335822265646,0.5165016501650165,0.2908839208866848,0.0381567973311092,1.9012738853503184,2.0,3.0,1.2311502188167565,6,20.0,0.0638977635782747,0.0113754298854317,4,158,2.0,1,1.8051391862955035,28,214,159,32,3,4,10,8,26,79,0.5049,559,0.0222618972381975,0.8571,314,314,0,0.000119,6,1409,63292,50357,50616,0.486546,24501,0.854769,0.1130625741865638,1,0.7782,0.1968,0.025,160,46,114,17,0.0,0.0,2.0,71172.54776814442,0.0368421052631578,177.91718712895272,0.8571,0.5998482552893436,0.0733742085000274,0.279505,19.0,559,409,150,0,0.0,314,0.0,1.0,5,0.0,45,7.608651651941824,148,3.0,1,8,498,121,26,0.95,0.0,0.0174824748743103,0.0753317827782051,0.05,2,0.0020773824980524,0.975,0.0306000299266796,0.0817543859649122,0.0817543859649122,0.2021505376344086,0.2087912087912088,1,2.7467643641802137,13.274609509033397,0.341754,16.0,1409,30,8,152,369,58913,0.423081,24925,0.063465,1.2762520193861069,2.6421404682274248,790,0.0026464463093184842,-2.219956036029982,0.1937984496124031,12492.10626479112,0.9897114529308206,False,0.6,1366.968058814525,42.031941185475034,0.08073101252803053,-1,-1,0,False,False,3.0,0.614371838056247,likely_anomaly,likely_anomaly,1.0,0.0,likely_anomaly,1.0
2025-11-01 07:10:00+00:00,20251101_0710,rrc04,1.271620376938304,0.2976329071711716,1.4782608695652173,0.5145518044237486,442,6.418552036199095,9,0.8979289263057099,12880,-0.3887032667950058,0.378375,0.399932,19.65,2.9172393007836046,0.5211,0.1467199595887866,0.6043465149791835,0.0061058576458076,11.429576380921969,0.0423414597067351,0.5163934426229508,0.2875431752272719,0.0368393782383419,1.8987341772151896,2.0,3.0,1.2283047565274132,6,20.0,0.0634920634920634,0.0112718505123568,4,4,2.0,1,2.656346749226006,0,100,108,40,10,14,45,7,0,48,0.5244,561,0.02296193014349,0.875,316,316,0,2.4e-05,1,1301,56659,41232,41489,0.497672,20520,0.783968,0.1131358817098612,3,0.779,0.1943,0.0267,63,61,2,17,0.0,0.0,2.0,72063.31507358323,0.0368421052631578,178.54084206905472,0.875,0.5830939246980023,0.070577883217104,0.28481,19.0,561,412,149,0,0.0,316,0.0,1.0,5,0.0,49,7.603582743086775,39,3.0,1,13,398,44,24,0.95,0.0,0.0173589623737982,0.0752994149081234,0.05,2,0.0045823052520267,0.9733,0.0303030303030303,0.0814035087719298,0.0814035087719298,0.2,0.2087912087912088,1,2.836699076611012,13.280315673370772,0.341732,16.0,1301,21,9,119,402,52594,0.407822,21449,0.08985,1.9434389140271493,2.872909698996656,859,0.014987547789188427,-1.2097229193893089,0.13178294573643412,-36646.682080826555,0.986365341512342,False,0.6,1373.8342976362403,-72.83429763624031,-0.13989329136608056,-1,-1,0,False,False,3.0,0.5729985567782216,likely_anomaly,likely_anomaly,1.0,0.0,likely_anomaly,1.0
