window_start,window_id,collector,adj_eig_ratio_1_2,innermost_core_size,kirchhoff_index,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,ego_valley_free_paths_total,std_edge_ixp_cosine_dist,unique_peers,assortativity,betweenness_centrality,clustering_avg_local,core_std,degeneracy,eigenvector_centrality,frac_p2p_edges,n_customers,number_rare_ases,pagerank,rich_club_p25,avg_edge_ixp_cosine_dist,avg_ixp_cosine_dist,as_path_std,edit_distance_dict_0,ego_avg_violation_depth,ego_max_violation_depth,ego_valley_free_violations,ann_wd_ratio,new_prefixes,origin_changes
2025-11-01 00:00:00+00:00,20251101_0000,rrc04,1.268588543909398,17,79364.7501300752,0.08485540334855403,0.1935483870967742,0.20588235294117646,15.6,5.526315789473684,8,1.7647058823529411,3,10,0,69,0.039754,0.01627045343670477,0,60078,0.34549,9,-0.38907024440291044,0.15756106953506524,0.2791159135441468,1.2031944743546956,6,0.11693510362733935,0.2182,19.0,5,0.016625247027350815,0.02965154029290816,0.382606,0.399932,1.8064212949190015,1,0.5362,0.8571,21459,0.015637860082304528,0,2
2025-11-01 00:05:00+00:00,20251101_0005,rrc04,1.268588543909398,17,79364.7501300752,0.08485540334855403,0.1935483870967742,0.20588235294117646,15.6,5.714285714285714,7,2.0,3,5,0,52,0.05545,0.009478105973998351,0,60035,0.34549,7,-0.38907024440291044,0.15756106953506532,0.2791159135441468,1.2031944743546956,6,0.11693510362733929,0.2182,19.0,10,0.016625247027350815,0.02965154029290816,0.382606,0.399932,1.6035674514745462,0,0.5101,0.8571,23419,0.009915014164305949,0,0
2025-11-01 00:10:00+00:00,20251101_0010,rrc04,1.258590185386713,17,79357.05790641333,0.0852359208523592,0.19556451612903225,0.20588235294117646,15.6,7.235294117647059,9,1.6,3,9,1,40,0.067991,0.011862167666648318,0,55339,0.345455,7,-0.38889875904761023,0.15756106953506532,0.2810064229196861,1.2031944743546956,6,0.1169970077702305,0.2195,19.0,6,0.01662119586646524,0.02972368515980088,0.379523,0.399932,1.56242646885805,3,0.5312,0.8333,24991,0.020118343195266272,0,1
2025-11-01 00:15:00+00:00,20251101_0015,rrc04,1.2496963427999197,13,79346.15550306327,0.08561643835616438,0.1975806451612903,0.20588235294117646,15.6,4.985050505050505,9,1.0666666666666667,3,2,1,36,0.132847,0.01600703605980651,0,94070,0.34572,8,-0.3886302367270403,0.15756106953506524,0.28064356357479087,1.346487406149534,7,0.11700537430631862,0.2209,19.0,52,0.01661738128292281,0.0297958300266936,0.376586,0.399932,1.6579402621836625,1,0.5159,0.875,25369,3.4859154929577465,2458,0
2025-11-01 00:20:00+00:00,20251101_0020,rrc04,1.258590185386713,17,79357.05790641333,0.0852359208523592,0.19556451612903225,0.20588235294117646,15.6,3.8333333333333335,4,1.6,2,6,0,64,0.079434,0.01686684937554031,0,41340,0.345455,7,-0.38889875904761023,0.1575610695350653,0.2810064229196861,1.2031944743546956,6,0.11699700777023048,0.2195,19.0,9,0.01662119586646524,0.02972368515980088,0.379523,0.399932,0.40824829046386296,0,0.5281,0.8571,18975,0.006586169045005488,0,1
2025-11-01 00:25:00+00:00,20251101_0025,rrc04,1.268588543909398,17,79364.7501300752,0.08485540334855403,0.1935483870967742,0.20588235294117646,15.6,6.052631578947368,8,2.0,3,10,0,43,0.043618,0.011573963365058108,0,50091,0.34549,9,-0.38907024440291044,0.15756106953506532,0.2791159135441468,1.2031944743546956,6,0.1169351036273393,0.2182,19.0,5,0.016625247027350815,0.02965154029290816,0.382606,0.399932,1.6490294859747157,0,0.5098,0.8,23959,0.026874115983026876,1,2
2025-11-01 00:30:00+00:00,20251101_0030,rrc04,1.258590185386713,17,79357.05790641333,0.0852359208523592,0.19556451612903225,0.20588235294117646,15.6,3.5,4,0.6666666666666666,1,2,0,58,0.071681,0.009172566034863362,0,58967,0.345455,5,-0.38889875904761023,0.15756106953506532,0.2810064229196861,1.2031944743546956,6,0.11699700777023048,0.2195,19.0,1,0.01662119586646524,0.02972368515980088,0.379523,0.399932,0.5773502691896257,1,0.5367,0.8571,24698,0.005563282336578581,0,0
2025-11-01 00:35:00+00:00,20251101_0035,rrc04,1.258590185386713,17,79357.05790641333,0.0852359208523592,0.19556451612903225,0.20588235294117646,15.6,3.5,4,1.0,1,2,0,52,0.07109,0.0121174810054356,0,51559,0.345455,6,-0.38889875904761023,0.15756106953506538,0.2810064229196861,1.2031944743546956,6,0.11699700777023049,0.2195,19.0,4,0.01662119586646524,0.02972368515980088,0.379523,0.399932,0.7071067811865476,0,0.5116,0.8,22802,0.002484472049689441,0,0
2025-11-01 00:40:00+00:00,20251101_0040,rrc04,1.2519209456757168,17,79343.40660917269,0.08561643835616438,0.19696969696969696,0.20588235294117646,15.6,6.833333333333333,8,1.9375,3,10,1,48,0.066842,0.018328858305062944,0,47562,0.345938,6,-0.38848608318897254,0.15756106953506538,0.28007846001567527,1.2031944743546956,6,0.11700558289125444,0.2209,19.0,8,0.016617111942507472,0.0297958300266936,0.375991,0.399932,1.5811388300841898,1,0.5287,0.8571,24699,0.016042780748663103,1,2
2025-11-01 00:45:00+00:00,20251101_0045,rrc04,1.268588543909398,17,79364.7501300752,0.08485540334855403,0.1935483870967742,0.20588235294117646,15.6,5.37037037037037,8,1.76,3,10,0,42,0.05449,0.013351445066042288,0,45317,0.34549,8,-0.38907024440291044,0.15756106953506538,0.2791159135441468,1.2031944743546956,6,0.11693510362733932,0.2182,19.0,3,0.016625247027350815,0.02965154029290816,0.382606,0.399932,1.8006013557045997,3,0.5189,0.8571,21110,0.0375,0,2
