bucket,coral_kind,pair,source,target,feature_set,balance_fit,calibration,alignment,classifier,edge,view,macro_f1_mean,macro_f1_std,precision_normal_mean,precision_normal_std,precision_anomaly_mean,precision_anomaly_std,recall_normal_mean,recall_normal_std,recall_anomaly_mean,recall_anomaly_std,f1_normal_mean,f1_normal_std,f1_anomaly_mean,f1_anomaly_std,balanced_accuracy_mean,balanced_accuracy_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,TP_mean,TP_std,n_rows_mean,n_rows_std,n_anomaly_mean,n_anomaly_std,n_normal_mean,n_normal_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,ece_mean,ece_std,brier_mean,brier_std,fit_ms_mean,fit_ms_std,predict_target_ms_mean,predict_target_ms_std,predict_source_ms_mean,predict_source_ms_std,single_window_ms_median_mean,single_window_ms_median_std,single_window_ms_p95_mean,single_window_ms_p95_std,batched_ms_per_window_median_mean,batched_ms_per_window_median_std
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,equal,none,after_coral,gnn,knn,core10,0.342770,0.021730,0.880335,0.014201,0.058655,0.008780,0.437458,0.028640,0.370878,0.041748,0.584262,0.028845,0.101279,0.014657,0.404168,0.035089,3054.333333,199.963330,3927.666667,199.963330,413.333333,27.428695,243.666667,27.428695,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.076161,0.005424,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,equal,none,after_coral,gnn,temporal,core10,0.300949,0.059389,0.849062,0.041175,0.046701,0.008519,0.379118,0.098493,0.317098,0.015246,0.520601,0.105265,0.081298,0.013539,0.348108,0.056854,2647.000000,687.676523,4335.000000,687.676523,448.666667,10.016653,208.333333,10.016653,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.063497,0.007654,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,equal,none,before_coral,gnn,knn,core10,0.132871,0.093644,0.294164,0.509507,0.082755,0.004923,0.070992,0.122962,0.895992,0.171003,0.114380,0.198112,0.151361,0.010855,0.483492,0.024127,495.666667,858.519850,6486.333333,858.519850,68.333333,112.349158,588.666667,112.349158,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.073219,0.011673,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,equal,none,before_coral,gnn,temporal,core10,0.099519,0.035878,0.312027,0.540447,0.086226,0.001183,0.021675,0.037542,0.980720,0.024746,0.040534,0.070207,0.158504,0.001729,0.501198,0.007199,151.333333,262.117022,6830.666667,262.117022,12.666667,16.258331,644.333333,16.258331,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.085612,0.000405,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,none,none,after_coral,gnn,knn,core10,0.468712,0.001329,0.910053,0.000122,0.072934,0.001009,0.764633,0.008858,0.196854,0.010361,0.831010,0.005199,0.106414,0.002571,0.480744,0.000798,5338.666667,61.849279,1643.333333,61.849279,527.666667,6.806859,129.333333,6.806859,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.079788,0.001451,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,none,none,after_coral,gnn,temporal,core10,0.386916,0.027772,0.885480,0.010088,0.044764,0.003604,0.580875,0.065090,0.207002,0.014520,0.700373,0.051595,0.073459,0.004146,0.393938,0.025504,4055.666667,454.460486,2926.333333,454.460486,521.000000,9.539392,136.000000,9.539392,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.083365,0.003393,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,none,none,before_coral,gnn,knn,core10,0.177886,0.160266,0.608904,0.527391,0.083441,0.003835,0.149814,0.247917,0.830543,0.273737,0.205012,0.332373,0.150760,0.011911,0.490178,0.013295,1046.000000,1730.956961,5936.000000,1730.956961,111.333333,179.845304,545.666667,179.845304,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.079557,0.002536,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,core10,none,none,before_coral,gnn,temporal,core10,0.084976,0.011360,0.325700,0.564129,0.085814,0.001120,0.006111,0.010584,0.991375,0.003515,0.011997,0.020779,0.157955,0.001941,0.498743,0.007050,42.666667,73.900834,6939.333333,73.900834,5.666667,2.309401,651.333333,2.309401,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.073285,0.008269,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,gnn,knn,fusion_early,0.425490,0.028519,0.914432,0.006837,0.087800,0.010678,0.575432,0.057683,0.430238,0.032550,0.705388,0.044620,0.145592,0.014840,0.502835,0.026360,4017.666667,402.741025,2964.333333,402.741025,374.333333,21.385353,282.666667,21.385353,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.192276,0.009516,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,gnn,knn,graph,0.047950,0.011517,0.272150,0.105596,0.025762,0.000095,0.026831,0.012824,0.273465,0.003168,0.048814,0.022993,0.047087,0.000152,0.150148,0.004907,187.333333,89.539563,6794.666667,89.539563,477.333333,2.081666,179.666667,2.081666,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.068860,0.006077,,,,,,,,,,,,,,,,
