bucket,pair,balance_fit,calibration,alignment,classifier,view,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,recall_anomaly_mean,recall_anomaly_std
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,lstm,fusion_early,0.0792,0.0,0.6277,0.1386,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,lstm,fusion_late_attention,0.0792,0.0,0.5702,0.1579,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,lstm,fusion_late_mean,0.0792,0.0,0.3945,0.3062,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,lstm,fusion_late_or,0.0792,0.0,0.6273,0.0568,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,lstm,graph,0.0792,0.0,0.2132,0.3019,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,lstm,stat,0.0792,0.0,0.6273,0.0568,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,mlp,fusion_early,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,mlp,fusion_late_attention,0.0792,0.0,0.2031,0.277,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,mlp,fusion_late_mean,0.0792,0.0,0.0769,0.0128,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,mlp,fusion_late_or,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,mlp,graph,0.0792,0.0,0.0769,0.0128,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,mlp,stat,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,random_forest,fusion_early,0.0792,0.0,0.2911,0.1409,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,random_forest,fusion_late_attention,0.0792,0.0,0.5461,0.2702,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,random_forest,fusion_late_mean,0.0792,0.0,0.5466,0.2667,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,random_forest,fusion_late_or,0.0792,0.0,0.5438,0.2693,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,random_forest,graph,0.0792,0.0,0.0912,0.0074,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,random_forest,stat,0.0792,0.0,0.5438,0.2693,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,xgboost,fusion_early,0.0792,0.0,0.1463,0.0406,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,xgboost,fusion_late_attention,0.0792,0.0,0.111,0.0873,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,xgboost,fusion_late_mean,0.0792,0.0,0.111,0.0873,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,xgboost,fusion_late_or,0.0792,0.0,0.1051,0.0895,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,xgboost,graph,0.0792,0.0,0.0899,0.0053,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,after_coral,xgboost,stat,0.0792,0.0,0.1051,0.0895,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,lstm,fusion_early,0.0792,0.0,0.108,0.0257,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,lstm,fusion_late_attention,0.0792,0.0,0.1371,0.0556,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,lstm,fusion_late_mean,0.0792,0.0,0.0883,0.0168,1.0,0.0
