pair,source,target,bucket,feature_set,balance_fit,alignment,classifier,view,macro_f1_mean,precision_anomaly_mean,recall_anomaly_mean,pr_auc_anomaly_mean,TP_mean,FP_mean,FN_mean,TN_mean
rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,cross_as,core10,none,before_coral,gnn,core10,0.177886,0.083441,0.830543,0.079557,545.666667,5936.000000,111.333333,1046.000000
rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,cross_as,shared22,none,before_coral,gnn,fusion_early,0.489889,0.106077,0.326738,0.102870,214.666667,1822.000000,442.333333,5160.000000
rrc04_as12880__to__rrc05_as12880,rrc04_as12880,rrc05_as12880,same_as,core10,none,before_coral,gnn,core10,0.510735,0.308546,0.046909,0.130505,28.333333,62.666667,575.666667,5031.333333
rrc04_as12880__to__rrc05_as12880,rrc04_as12880,rrc05_as12880,same_as,shared22,none,before_coral,mlp,fusion_early,0.876545,0.970377,0.647351,0.811562,391.000000,13.800000,213.000000,5080.200000
rrc04_as12880__to__rrc05_as3352,rrc04_as12880,rrc05_as3352,cross_as,core10,none,before_coral,gnn,core10,0.371712,0.366327,0.375121,0.058620,128.666667,2522.333333,214.333333,4024.666667
rrc04_as12880__to__rrc05_as3352,rrc04_as12880,rrc05_as3352,cross_as,shared22,none,before_coral,gnn,fusion_early,0.648062,0.244648,0.725948,0.253142,249.000000,770.666667,94.000000,5776.333333
rrc04_as3352__to__rrc04_as12880,rrc04_as3352,rrc04_as12880,cross_as,core10,none,before_coral,gnn,core10,0.255880,0.109816,0.806483,0.108426,555.666667,4514.000000,133.333333,1186.000000
rrc04_as3352__to__rrc04_as12880,rrc04_as3352,rrc04_as12880,cross_as,shared22,none,before_coral,gnn,stat,0.909567,0.893424,0.788582,0.885924,543.333333,65.000000,145.666667,5635.000000
rrc04_as3352__to__rrc05_as12880,rrc04_as3352,rrc05_as12880,cross_as,core10,none,before_coral,gnn,core10,0.322044,0.102609,0.593267,0.119302,358.333333,3088.000000,245.666667,2006.000000
rrc04_as3352__to__rrc05_as12880,rrc04_as3352,rrc05_as12880,cross_as,shared22,none,before_coral,lstm,fusion_early,0.704312,0.651753,0.377815,0.517149,228.200000,165.200000,375.800000,4928.800000
rrc04_as3352__to__rrc05_as3352,rrc04_as3352,rrc05_as3352,same_as,core10,none,before_coral,gnn,core10,0.049166,0.049862,1.000000,0.050242,343.000000,6536.000000,0.000000,11.000000
rrc04_as3352__to__rrc05_as3352,rrc04_as3352,rrc05_as3352,same_as,shared22,none,before_coral,xgboost,fusion_late_attention,0.791978,0.622597,0.588338,0.538447,201.800000,122.600000,141.200000,6424.400000
rrc05_as12880__to__rrc04_as12880,rrc05_as12880,rrc04_as12880,same_as,core10,none,before_coral,gnn,core10,0.440054,0.108300,0.390905,0.112791,269.333333,2202.666667,419.666667,3497.333333
rrc05_as12880__to__rrc04_as12880,rrc05_as12880,rrc04_as12880,same_as,shared22,none,before_coral,mlp,fusion_early,0.917779,0.877728,0.829608,0.873399,571.600000,80.000000,117.400000,5620.000000
rrc05_as12880__to__rrc04_as3352,rrc05_as12880,rrc04_as3352,cross_as,core10,none,before_coral,random_forest,core10,0.234863,0.098293,0.959411,0.108476,630.333333,5784.666667,26.666667,1197.333333
rrc05_as12880__to__rrc04_as3352,rrc05_as12880,rrc04_as3352,cross_as,shared22,none,before_coral,gnn,fusion_early,0.489315,1.000000,0.011669,0.103310,7.666667,0.000000,649.333333,6982.000000
rrc05_as12880__to__rrc05_as3352,rrc05_as12880,rrc05_as3352,cross_as,core10,none,before_coral,gnn,core10,0.125231,0.049673,0.892128,0.088601,306.000000,5867.000000,37.000000,680.000000
rrc05_as12880__to__rrc05_as3352,rrc05_as12880,rrc05_as3352,cross_as,shared22,none,before_coral,gnn,fusion_early,0.556080,1.000000,0.072886,0.132667,25.000000,0.000000,318.000000,6547.000000
rrc05_as3352__to__rrc04_as12880,rrc05_as3352,rrc04_as12880,cross_as,core10,none,before_coral,mlp,core10,0.828569,0.997333,0.522980,0.754676,360.333333,1.000000,328.666667,5699.000000
rrc05_as3352__to__rrc04_as12880,rrc05_as3352,rrc04_as12880,cross_as,shared22,none,before_coral,mlp,fusion_early,0.879031,0.899488,0.690856,0.804132,476.000000,53.600000,213.000000,5646.400000
rrc05_as3352__to__rrc04_as3352,rrc05_as3352,rrc04_as3352,same_as,core10,none,before_coral,gnn,core10,0.532368,0.128076,0.318113,0.148915,209.000000,925.666667,448.000000,6056.333333
rrc05_as3352__to__rrc04_as3352,rrc05_as3352,rrc04_as3352,same_as,shared22,none,before_coral,xgboost,fusion_late_mean,0.619908,0.672676,0.179097,0.360380,117.666667,61.000000,539.333333,6921.000000
rrc05_as3352__to__rrc05_as12880,rrc05_as3352,rrc05_as12880,cross_as,core10,none,before_coral,mlp,core10,0.795842,1.000000,0.453091,0.749067,273.666667,0.000000,330.333333,5094.000000
rrc05_as3352__to__rrc05_as12880,rrc05_as3352,rrc05_as12880,cross_as,shared22,none,before_coral,mlp,fusion_early,0.837368,0.798077,0.632450,0.701459,382.000000,96.666667,222.000000,4997.333333
