pair,source,target,bucket,balance_fit,alignment,FN_mean__core10,FN_mean__shared22,FP_mean__core10,FP_mean__shared22,TN_mean__core10,TN_mean__shared22,TP_mean__core10,TP_mean__shared22,classifier__core10,classifier__shared22,macro_f1_mean__core10,macro_f1_mean__shared22,precision_anomaly_mean__core10,precision_anomaly_mean__shared22,recall_anomaly_mean__core10,recall_anomaly_mean__shared22,view__core10,view__shared22,delta_f1_core10_minus_shared22
rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,cross_as,equal,after_coral,413.333333,220.400000,3927.666667,1909.600000,3054.333333,5072.400000,243.666667,436.600000,gnn,lstm,0.342770,0.542051,0.058655,0.184635,0.370878,0.664536,core10,fusion_late_attention,-0.199281
rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,cross_as,equal,before_coral,68.333333,651.666667,6486.333333,9.000000,495.666667,6973.000000,588.666667,5.333333,gnn,gnn,0.132871,0.485227,0.082755,0.416667,0.895992,0.008118,core10,graph,-0.352356
rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,cross_as,none,after_coral,527.666667,427.333333,1643.333333,1540.000000,5338.666667,5442.000000,129.333333,229.666667,gnn,gnn,0.468712,0.518085,0.072934,0.129755,0.196854,0.349569,core10,fusion_early,-0.049373
rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,cross_as,none,before_coral,111.333333,442.333333,5936.000000,1822.000000,1046.000000,5160.000000,545.666667,214.666667,gnn,gnn,0.177886,0.489889,0.083441,0.106077,0.830543,0.326738,core10,fusion_early,-0.312003
rrc04_as12880__to__rrc05_as12880,rrc04_as12880,rrc05_as12880,same_as,equal,after_coral,177.666667,112.333333,625.000000,418.333333,4469.000000,4675.666667,426.333333,491.666667,gnn,gnn,0.717437,0.799626,0.410358,0.548372,0.705850,0.814018,core10,fusion_early,-0.082189
rrc04_as12880__to__rrc05_as12880,rrc04_as12880,rrc05_as12880,same_as,equal,before_coral,549.333333,203.000000,203.666667,18.800000,4890.333333,5075.200000,54.666667,401.000000,gnn,lstm,0.525194,0.880864,0.274659,0.956711,0.090508,0.663907,core10,fusion_late_or,-0.355670
rrc04_as12880__to__rrc05_as12880,rrc04_as12880,rrc05_as12880,same_as,none,after_coral,145.333333,131.666667,1203.333333,377.000000,3890.666667,4717.000000,458.666667,472.333333,gnn,gnn,0.628921,0.799589,0.276942,0.557007,0.759382,0.782009,core10,fusion_early,-0.170668
rrc04_as12880__to__rrc05_as12880,rrc04_as12880,rrc05_as12880,same_as,none,before_coral,575.666667,213.000000,62.666667,13.800000,5031.333333,5080.200000,28.333333,391.000000,gnn,mlp,0.510735,0.876545,0.308546,0.970377,0.046909,0.647351,core10,fusion_early,-0.365810
rrc04_as12880__to__rrc05_as3352,rrc04_as12880,rrc05_as3352,cross_as,equal,after_coral,214.333333,89.666667,1263.666667,954.000000,5283.333333,5593.000000,128.666667,253.333333,gnn,gnn,0.512884,0.620909,0.092583,0.210288,0.375121,0.738581,core10,fusion_early,-0.108025
rrc04_as12880__to__rrc05_as3352,rrc04_as12880,rrc05_as3352,cross_as,equal,before_coral,119.333333,102.666667,4372.666667,1401.666667,2174.333333,5145.333333,223.666667,240.333333,gnn,gnn,0.197381,0.567298,0.089737,0.169866,0.652089,0.700680,core10,fusion_early,-0.369917
rrc04_as12880__to__rrc05_as3352,rrc04_as12880,rrc05_as3352,cross_as,none,after_coral,174.333333,27.000000,1626.333333,1328.666667,4920.666667,5218.333333,168.666667,316.000000,gnn,gnn,0.501576,0.601603,0.094037,0.192340,0.491740,0.921283,core10,fusion_early,-0.100027
