source_as,feature_set,balance_fit,alignment,n_pairs,macro_f1_mean,macro_f1_std,precision_anomaly_mean,recall_anomaly_mean
AS12880,shared22,none,before_coral,6,0.662945,0.190946,0.699805,0.435700
AS12880,shared22,none,after_coral,6,0.675007,0.110488,0.342358,0.686821
AS12880,shared22,equal,before_coral,6,0.639642,0.186266,0.516142,0.401001
AS12880,shared22,equal,after_coral,6,0.592101,0.135617,0.242075,0.632421
AS12880,core10,none,before_coral,6,0.310080,0.153790,0.169097,0.582503
AS12880,core10,none,after_coral,6,0.539720,0.084219,0.162343,0.493587
AS12880,core10,equal,before_coral,6,0.296506,0.232893,0.155424,0.716861
AS12880,core10,equal,after_coral,6,0.544675,0.142877,0.190751,0.495476
AS3352,shared22,none,before_coral,6,0.790361,0.110221,0.756336,0.542856
AS3352,shared22,none,after_coral,6,0.787568,0.094362,0.658269,0.600349
AS3352,shared22,equal,before_coral,6,0.759526,0.104813,0.582877,0.675929
AS3352,shared22,equal,after_coral,6,0.696066,0.148856,0.460999,0.608911
AS3352,core10,none,before_coral,6,0.463978,0.310888,0.397949,0.615656
AS3352,core10,none,after_coral,6,0.629459,0.143650,0.434473,0.403265
AS3352,core10,equal,before_coral,6,0.532539,0.269466,0.443163,0.432804
AS3352,core10,equal,after_coral,6,0.581266,0.083174,0.321367,0.523314
