bucket,pair,balance_fit,classifier,view,macro_f1_isotonic_f1,macro_f1_none,macro_f1_platt_prior,ece_isotonic_f1,ece_none,ece_platt_prior,brier_isotonic_f1,brier_none,brier_platt_prior,pr_auc_anomaly_isotonic_f1,pr_auc_anomaly_none,pr_auc_anomaly_platt_prior
cross_as,rrc04_as12880__to__rrc04_as3352,equal,lstm,fusion_early,,0.0792,,,0.7905,,,0.7048,,,0.108,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,lstm,fusion_late_attention,,0.0792,,,0.875,,,0.8433,,,0.1371,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,lstm,fusion_late_mean,,0.0792,,,0.6283,,,0.4743,,,0.0883,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,lstm,fusion_late_or,,0.0792,,,0.8173,,,0.7466,,,0.1097,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,lstm,graph,,0.1433,,,0.4596,,,0.2756,,,0.0899,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,lstm,stat,,0.0792,,,0.8173,,,0.7466,,,0.1097,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,mlp,fusion_early,,0.0801,,,0.806,,,0.7367,,,0.1325,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,mlp,fusion_late_attention,,0.0891,,,0.8335,,,0.7817,,,0.1358,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,mlp,fusion_late_mean,,0.0955,,,0.595,,,0.4373,,,0.1182,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,mlp,fusion_late_or,,0.0847,,,0.7862,,,0.715,,,0.1478,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,mlp,graph,,0.3838,,,0.4048,,,0.2425,,,0.2251,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,mlp,stat,,0.0948,,,0.785,,,0.714,,,0.1479,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,random_forest,fusion_early,,0.0782,,,0.7754,,,0.6793,,,0.0565,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,random_forest,fusion_late_attention,,0.0773,,,0.8752,,,0.8572,,,0.0567,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,random_forest,fusion_late_mean,,0.079,,,0.7035,,,0.5799,,,0.068,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,random_forest,fusion_late_or,,0.0792,,,0.7921,,,0.7262,,,0.0567,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,random_forest,graph,,0.0792,,,0.6123,,,0.4532,,,0.0954,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,random_forest,stat,,0.0768,,,0.7952,,,0.7265,,,0.0559,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,xgboost,fusion_early,,0.08,,,0.8972,,,0.897,,,0.0731,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,xgboost,fusion_late_attention,,0.0776,,,0.8941,,,0.8829,,,0.0689,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,xgboost,fusion_late_mean,,0.0783,,,0.8377,,,0.7899,,,0.0672,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,xgboost,fusion_late_or,,0.0792,,,0.9002,,,0.8969,,,0.0668,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,xgboost,graph,,0.0792,,,0.7859,,,0.6984,,,0.0914,
cross_as,rrc04_as12880__to__rrc04_as3352,equal,xgboost,stat,,0.0777,,,0.8966,,,0.8942,,,0.0665,
cross_as,rrc04_as12880__to__rrc04_as3352,none,lstm,fusion_early,,0.0793,,,0.8371,,,0.7841,,,0.0872,
cross_as,rrc04_as12880__to__rrc04_as3352,none,lstm,fusion_late_attention,,0.0792,,,0.8805,,,0.8538,,,0.095,
cross_as,rrc04_as12880__to__rrc04_as3352,none,lstm,fusion_late_mean,,0.0792,,,0.6537,,,0.5061,,,0.0848,
cross_as,rrc04_as12880__to__rrc04_as3352,none,lstm,fusion_late_or,,0.0792,,,0.8683,,,0.833,,,0.0926,
cross_as,rrc04_as12880__to__rrc04_as3352,none,lstm,graph,,0.0792,,,0.4392,,,0.2719,,,0.0604,
cross_as,rrc04_as12880__to__rrc04_as3352,none,lstm,stat,,0.0792,,,0.8683,,,0.833,,,0.0926,
cross_as,rrc04_as12880__to__rrc04_as3352,none,mlp,fusion_early,,0.0818,,,0.7814,,,0.6955,,,0.1662,
cross_as,rrc04_as12880__to__rrc04_as3352,none,mlp,fusion_late_attention,,0.0795,,,0.8092,,,0.7319,,,0.1937,
cross_as,rrc04_as12880__to__rrc04_as3352,none,mlp,fusion_late_mean,,0.085,,,0.5695,,,0.3993,,,0.19,
cross_as,rrc04_as12880__to__rrc04_as3352,none,mlp,fusion_late_or,,0.0847,,,0.7289,,,0.6121,,,0.1863,
cross_as,rrc04_as12880__to__rrc04_as3352,none,mlp,graph,,0.3979,,,0.4101,,,0.2468,,,0.4309,
cross_as,rrc04_as12880__to__rrc04_as3352,none,mlp,stat,,0.0847,,,0.7288,,,0.612,,,0.1863,
cross_as,rrc04_as12880__to__rrc04_as3352,none,random_forest,fusion_early,,0.1294,,,0.5785,,,0.4,,,0.0545,
cross_as,rrc04_as12880__to__rrc04_as3352,none,random_forest,fusion_late_attention,,0.0737,,,0.9055,,,0.9043,,,0.0539,
cross_as,rrc04_as12880__to__rrc04_as3352,none,random_forest,fusion_late_mean,,0.0932,,,0.5617,,,0.3899,,,0.0643,
