pair,balance_fit,alignment,classifier,view,stage1a,stage1b,delta
rrc04_as12880__to__rrc04_as3352,equal,after_coral,lstm,fusion_early,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,lstm,fusion_late_attention,0.0792,0.5421,0.4629
rrc04_as12880__to__rrc04_as3352,equal,after_coral,lstm,fusion_late_mean,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,lstm,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,lstm,graph,0.0792,0.1589,0.0797
rrc04_as12880__to__rrc04_as3352,equal,after_coral,lstm,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,mlp,fusion_early,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,mlp,fusion_late_attention,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,mlp,fusion_late_mean,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,mlp,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,mlp,graph,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,mlp,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,random_forest,fusion_early,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,random_forest,fusion_late_attention,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,random_forest,fusion_late_mean,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,random_forest,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,random_forest,graph,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,random_forest,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,xgboost,fusion_early,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,xgboost,fusion_late_attention,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,xgboost,fusion_late_mean,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,xgboost,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,xgboost,graph,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,after_coral,xgboost,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,equal,before_coral,lstm,fusion_early,0.0792,0.0793,0.0001
rrc04_as12880__to__rrc04_as3352,equal,before_coral,lstm,fusion_late_attention,0.0792,0.0821,0.0029
rrc04_as12880__to__rrc04_as3352,equal,before_coral,lstm,fusion_late_mean,0.0792,0.0845,0.0053
rrc04_as12880__to__rrc04_as3352,equal,before_coral,lstm,fusion_late_or,0.0792,0.0815,0.0023
rrc04_as12880__to__rrc04_as3352,equal,before_coral,lstm,graph,0.1433,0.4147,0.2714
