pair_label,bucket_label,edge,view,alignment,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,recall_anomaly_mean,TP_mean,FP_mean,FN_mean,TN_mean
D1->D2,cross-AS,knn,fusion_early,after_coral,0.518,0.002,0.223,0.35,229.7,1540.0,427.3,5442.0
D1->D2,cross-AS,knn,fusion_early,before_coral,0.376,0.272,0.204,0.503,330.3,3233.0,326.7,3749.0
D1->D2,cross-AS,knn,graph,after_coral,0.301,0.011,0.073,0.18,118.0,4102.7,539.0,2879.3
D1->D2,cross-AS,knn,graph,before_coral,0.275,0.197,0.074,0.454,298.3,4003.0,358.7,2979.0
D1->D2,cross-AS,knn,stat,after_coral,0.499,0.01,0.203,0.34,223.3,1742.0,433.7,5240.0
D1->D2,cross-AS,knn,stat,before_coral,0.301,0.016,0.074,0.429,282.0,4536.3,375.0,2445.7
D1->D2,cross-AS,temporal,fusion_early,after_coral,0.462,0.005,0.135,0.334,219.3,2218.3,437.7,4763.7
D1->D2,cross-AS,temporal,fusion_early,before_coral,0.207,0.103,0.174,0.614,403.3,5586.3,253.7,1395.7
D1->D2,cross-AS,temporal,graph,after_coral,0.278,0.01,0.068,0.19,125.0,4426.0,532.0,2556.0
D1->D2,cross-AS,temporal,graph,before_coral,0.345,0.247,0.065,0.141,92.7,2267.7,564.3,4714.3
D1->D2,cross-AS,temporal,stat,after_coral,0.437,0.012,0.116,0.302,198.7,2472.7,458.3,4509.3
D1->D2,cross-AS,temporal,stat,before_coral,0.284,0.049,0.177,0.459,301.7,4749.3,355.3,2232.7
D1->D3,same-AS,knn,fusion_early,after_coral,0.774,0.102,0.889,0.883,533.3,651.3,70.7,4442.7
D1->D3,same-AS,knn,fusion_early,before_coral,0.616,0.072,0.489,0.532,321.3,942.7,282.7,4151.3
D1->D3,same-AS,knn,graph,after_coral,0.454,0.012,0.366,0.635,383.3,2362.7,220.7,2731.3
D1->D3,same-AS,knn,graph,before_coral,0.633,0.021,0.339,0.285,172.3,264.0,431.7,4830.0
D1->D3,same-AS,knn,stat,after_coral,0.785,0.014,0.725,0.716,432.7,354.3,171.3,4739.7
